idx,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
14,,,,,,,,,0.0642,0.0603,0.058,0.0677,0.0727,0.0678,0.0647,0.0596,0.057,0.0545,0.0517,0.0494,0.0472,0.0453,0.0436,0.0422,0.04,0.0379,0.0358,0.0341,0.0325,0.0312,0.0298,0.0288,0.0278,0.0267,0.029,0.028097561,0.027333333,0.026465116,0.025636364,0.024888889,0.024347826,0.023680851,0.016998738
15,,,,,,,,,,0.0598,0.0564,0.0537,0.0602,0.0677,0.0672,0.0602,0.0572,0.0546,0.0517,0.0499,0.0476,0.0458,0.044,0.0422,0.0407,0.0393,0.0375,0.0357,0.034,0.0324,0.0309,0.0296,0.0285,0.0278,0.0296,0.028804878,0.027857143,0.026953488,0.026181818,0.025555556,0.024782609,0.024042553,0.017269299
16,,,,,,,,,,,0.0561,0.0529,0.0502,0.0538,0.0623,0.0626,0.0578,0.0557,0.0521,0.0501,0.0478,0.0458,0.0443,0.0422,0.0411,0.0395,0.0382,0.0367,0.0355,0.0332,0.0324,0.0308,0.0295,0.0284,0.0312,0.029853659,0.028571429,0.027534884,0.026818182,0.025977778,0.025173913,0.024510638,0.019175252
17,,,,,,,,,,,,0.0526,0.0499,0.0474,0.0487,0.0571,0.0595,0.0557,0.0523,0.0502,0.0481,0.0462,0.0445,0.0423,0.0411,0.0397,0.0383,0.0371,0.0358,0.0349,0.0336,0.0322,0.0307,0.0284,0.0318,0.030707317,0.029714286,0.028837209,0.027636364,0.026488889,0.02573913,0.025085106,0.019595069
18,,,,,,,,,,,,,0.0496,0.0472,0.0451,0.0439,0.052,0.0552,0.0546,0.0514,0.0483,0.0463,0.0447,0.0427,0.0413,0.04,0.0387,0.0372,0.0361,0.0349,0.0338,0.0329,0.0319,0.0295,0.0324,0.031268293,0.030428571,0.029418605,0.028454545,0.027733333,0.026782609,0.025702128,0.020014887
19,,,,,,,,,,,,,,0.047,0.0448,0.0433,0.0418,0.0488,0.053,0.0527,0.0492,0.0465,0.0448,0.0429,0.0415,0.0402,0.0387,0.0374,0.0364,0.0352,0.0341,0.0329,0.032,0.0307,0.033,0.032,0.030952381,0.029906977,0.029090909,0.028244444,0.027347826,0.026553191,0.02
20,,,,,,,,,,,,,,,0.0447,0.0429,0.0415,0.0394,0.043,0.049,0.0504,0.0481,0.0448,0.0439,0.0417,0.0403,0.0388,0.0378,0.0365,0.0355,0.0341,0.0331,0.032,0.0314,0.0336,0.032609756,0.03147619,0.030511628,0.029636364,0.028666667,0.027826087,0.027170213,0.020333333
21,,,,,,,,,,,,,,,,0.0427,0.0407,0.0391,0.0375,0.0396,0.046,0.0479,0.046,0.0441,0.0418,0.0404,0.0389,0.0378,0.0365,0.0356,0.0344,0.0332,0.0325,0.0315,0.0344,0.033170732,0.032,0.031139535,0.030090909,0.029155556,0.028434783,0.027531915,0.020666667
22,,,,,,,,,,,,,,,,,0.0405,0.0389,0.0375,0.0362,0.0367,0.0422,0.0462,0.0453,0.043,0.0404,0.0391,0.0379,0.0366,0.0357,0.0345,0.0334,0.0327,0.0316,0.035,0.033731707,0.032761905,0.031627907,0.030545455,0.0298,0.028826087,0.027914894,0.02
23,,,,,,,,,,,,,,,,,,0.0387,0.0373,0.0359,0.0345,0.0345,0.0389,0.0429,0.0435,0.0421,0.0392,0.038,0.0368,0.0357,0.0346,0.0335,0.0327,0.0318,0.036,0.034341463,0.033285714,0.032116279,0.031272727,0.030222222,0.029217391,0.028574468,0.020333333
24,,,,,,,,,,,,,,,,,,,0.0371,0.0357,0.0344,0.0333,0.0326,0.0358,0.0404,0.0418,0.0419,0.0402,0.0368,0.0358,0.0348,0.0336,0.0328,0.0319,0.0364,0.035804878,0.034095238,0.032744186,0.031727273,0.030644444,0.029913043,0.02893617,0.020666667
25,,,,,,,,,,,,,,,,,,,,0.0351,0.0343,0.0331,0.0321,0.0315,0.0336,0.038,0.04,0.0384,0.0381,0.0359,0.0348,0.0338,0.0329,0.032,0.0352,0.034878049,0.034952381,0.033953488,0.032363636,0.031288889,0.030304348,0.029297872,0.021333333
26,,,,,,,,,,,,,,,,,,,,,0.0342,0.033,0.0319,0.0309,0.0299,0.0311,0.0355,0.038,0.0384,0.0373,0.0353,0.0338,0.0329,0.0326,0.0336,0.033756098,0.03352381,0.033534884,0.033454545,0.032266667,0.030782609,0.029957447,0.021
27,,,,,,,,,,,,,,,,,,,,,,0.033,0.0317,0.0308,0.0299,0.0289,0.029,0.0331,0.0362,0.0371,0.0357,0.0339,0.033,0.0328,0.033,0.032707317,0.032380952,0.03255814,0.032181818,0.032311111,0.032,0.030723404,0.020666667
28,,,,,,,,,,,,,,,,,,,,,,,0.0317,0.0307,0.0298,0.0288,0.028,0.0286,0.0309,0.0343,0.0364,0.0373,0.0343,0.0335,0.0324,0.032,0.031666667,0.031255814,0.031272727,0.031288889,0.031043478,0.031191489,0.020666667
